station,date,diesel,e5,e10
005056ba-7cb6-1ed2-bceb-7e82e4910d2a,2014-06-08 18:30:01+02:00,1.399,1.609,1.569
005056ba-7cb6-1ed2-bceb-7ef561844d2a,2014-06-08 18:30:01+02:00,1.399,1.609,1.569
005056ba-7cb6-1ed2-bceb-80c585ca6d2b,2014-06-08 18:30:01+02:00,1.399,1.609,1.569
005056ba-7cb6-1ed2-bceb-82ea369c0d2d,2014-06-08 18:30:01+02:00,1.299,1.519,1.479
005056ba-7cb6-1ed2-bceb-87f71ccd4d30,2014-06-08 18:30:01+02:00,1.289,1.519,1.479
005056ba-7cb6-1ed2-bceb-91906e8e8d35,2014-06-08 18:30:01+02:00,1.439,1.659,1.619
005056ba-7cb6-1ed2-bceb-a58e7779cd41,2014-06-08 18:30:01+02:00,1.289,1.509,1.469
05587e8f-e6b4-4a55-93cd-917b5d37a35a,2014-06-08 18:30:01+02:00,1.469,1.669,1.629
0e4d959e-743d-41fd-8323-b435a0b458ba,2014-06-08 18:30:01+02:00,1.369,1.589,1.549
11b29c87-d728-4365-95c5-39c5a52418d5,2014-06-08 18:30:01+02:00,1.369,1.589,1.549
1241bc5a-5571-4cee-bce0-d0ab82000d8c,2014-06-08 18:30:01+02:00,1.309,1.539,1.499
127035c1-a7c7-41db-9976-ab4cd14b7271,2014-06-08 18:30:01+02:00,1.299,1.529,1.489
14a9f9a8-fb49-45fc-b946-51c791e60990,2014-06-08 18:30:01+02:00,1.469,1.679,1.639
19a63af8-7a51-434f-b16e-162b8785a562,2014-06-08 18:30:01+02:00,1.309,1.529,1.489
19c2a927-ba55-4480-9606-9388bc51ace8,2014-06-08 18:30:01+02:00,1.479,1.679,1.639
1b3938ef-cd3a-499a-9a67-e73af8a56739,2014-06-08 18:30:01+02:00,1.479,1.679,1.639
1fe898c5-3a58-4660-aa86-eab4c751a041,2014-06-08 18:30:01+02:00,1.459,1.659,1.619
21a4932a-9cea-4fac-bdd1-c305bf6ade43,2014-06-08 18:30:01+02:00,1.299,1.519,1.479
2211d99b-c1c3-4316-bcff-a38eb5f0135f,2014-06-08 18:30:01+02:00,1.299,1.529,1.489
30041ebf-0cd8-4b3b-ba03-f1f0aca560df,2014-06-08 18:30:01+02:00,1.299,1.529,1.489
32647103-5179-436f-82fd-f7407590a226,2014-06-08 18:30:01+02:00,1.469,1.669,1.629
326ab132-2671-42a1-983a-9d0bdd29a121,2014-06-08 18:30:01+02:00,1.459,1.659,1.619
39add580-4053-4eb2-8a4a-2744c249c48c,2014-06-08 18:30:01+02:00,1.299,1.489,1.449
44afad52-0417-459c-9951-8ba9457c2092,2014-06-08 18:30:01+02:00,1.329,1.529,1.489
48f7ddf7-1ef2-4e29-b62b-556f4c7193f0,2014-06-08 18:30:01+02:00,1.419,1.649,1.609
4c3ce577-f3db-428c-b5ff-d544c8e8349d,2014-06-08 18:30:01+02:00,1.299,1.519,1.479
5125f112-5d50-4a79-8751-70e7c31fa7fe,2014-06-08 18:30:01+02:00,1.299,1.519,1.479
51d4b474-a095-1aa0-e100-80009459e03a,2014-06-08 18:30:01+02:00,1.349,1.569,1.529
51d4b574-a095-1aa0-e100-80009459e03a,2014-06-08 18:30:01+02:00,1.279,1.499,1.459
51d4b60f-a095-1aa0-e100-80009459e03a,2014-06-08 18:30:01+02:00,1.289,1.509,1.469
51d4b683-a095-1aa0-e100-80009459e03a,2014-06-08 18:30:01+02:00,1.289,1.509,1.469
51d4b6c6-a095-1aa0-e100-80009459e03a,2014-06-08 18:30:01+02:00,1.289,1.509,1.469
51d4b6fa-a095-1aa0-e100-80009459e03a,2014-06-08 18:30:01+02:00,1.299,1.519,1.479
529b7b56-0ff8-4f37-b116-d3b0144bf207,2014-06-08 18:30:01+02:00,1.459,1.669,1.629
5e3c22de-18c6-4715-aa36-bc61244fd431,2014-06-08 18:30:01+02:00,1.319,1.529,1.489
6036f1bd-e690-4518-bc99-733759d2f8c1,2014-06-08 18:30:01+02:00,1.419,1.649,1.609
61d78973-1b05-4f36-a631-c087db30fdcc,2014-06-08 18:30:01+02:00,1.309,1.529,1.489
61f82d94-1280-4fbe-9c36-e3c40d6967ea,2014-06-08 18:30:01+02:00,1.479,1.689,1.649
646a461e-2341-4b5f-8f8b-09edc8f7d22c,2014-06-08 18:30:01+02:00,1.309,1.529,1.489
64ec825f-740c-477a-b7c2-2121154ee8a7,2014-06-08 18:30:01+02:00,1.299,1.529,1.489
69d4d0be-ab2b-4e65-ac9e-2a1fca892e90,2014-06-08 18:30:01+02:00,1.329,1.529,1.489
71d6e839-fa23-4192-b875-3dfe1b495722,2014-06-08 18:30:01+02:00,1.409,1.619,1.579
72f7a2d4-1b77-4556-a45e-8abfb804fb3b,2014-06-08 18:30:01+02:00,1.419,1.649,1.609
748b6d98-64f6-4030-86c7-26887a915eb3,2014-06-08 18:30:01+02:00,1.479,1.689,1.649
79fb1f24-bebb-489e-841f-728f9053b555,2014-06-08 18:30:01+02:00,1.309,1.529,1.489
7d09ea41-77b4-4e0a-b2e1-5611b990ca3c,2014-06-08 18:30:01+02:00,1.319,1.539,1.499
7e4c09ab-ab7d-4a13-af99-d043a611e410,2014-06-08 18:30:01+02:00,1.339,1.559,1.519
86f4e629-3746-4f9f-8cf9-989cf6367afa,2014-06-08 18:30:01+02:00,1.299,1.529,1.489
8917c28b-b08d-4b97-8219-43ecb69079bb,2014-06-08 18:30:01+02:00,1.489,1.689,1.649
8d3cd774-8fb2-41d4-856a-26b299bfb8d8,2014-06-08 18:30:01+02:00,1.489,1.689,1.649
8ff8a3d4-184d-4676-8906-34bfcc752423,2014-06-08 18:30:01+02:00,1.419,1.649,1.609
90c3884d-9008-46e9-9379-c1061c0dee87,2014-06-08 18:30:01+02:00,1.489,1.689,1.649
92b97c69-05fb-4a6e-994a-f2a5a2581d0e,2014-06-08 18:30:01+02:00,1.279,1.499,1.459
9533193d-3024-4fe2-a0c3-c6d660087112,2014-06-08 18:30:01+02:00,1.469,1.679,1.639
9791361c-7a76-4175-adc9-3104bbdf3ebd,2014-06-08 18:30:01+02:00,1.489,1.689,1.649
98cc4474-55f0-4b23-a643-8687ad5853ec,2014-06-08 18:30:01+02:00,1.469,1.669,1.629
9a9aabaf-adee-4180-87cb-e1a4c7fcd33e,2014-06-08 18:30:01+02:00,1.379,1.599,1.559
9d92e206-e5b7-4820-8cc0-709112aabca0,2014-06-08 18:30:01+02:00,1.319,1.539,1.499
9f1a9948-4a60-4db6-8ac5-0fdffcf51613,2014-06-08 18:30:01+02:00,1.469,1.669,1.629
9f2b85c2-f137-4f96-b4e4-240bd3bfdc8b,2014-06-08 18:30:01+02:00,1.319,1.539,1.499
a47189f4-0947-4601-ae8e-01c599ba3b66,2014-06-08 18:30:01+02:00,1.459,1.669,1.629
a51fe747-5541-45fc-a225-7e73d1b3df8a,2014-06-08 18:30:01+02:00,1.479,1.679,1.639
a84e1f3f-768a-4106-b77e-3697a0f96a8e,2014-06-08 18:30:01+02:00,1.319,1.539,1.499
a9b14f40-30ee-4550-b998-55f2981c6025,2014-06-08 18:30:01+02:00,1.419,1.649,1.609
aa221bd6-3dd1-47ec-a935-e06d4c779a57,2014-06-08 18:30:01+02:00,1.299,1.529,1.489
ad72e182-4a20-4b5c-8204-92de8d97da3e,2014-06-08 18:30:01+02:00,1.309,1.539,1.499
af55b83b-f6d2-4bf0-912d-b89156ade413,2014-06-08 18:30:01+02:00,1.419,1.639,1.599
b30c887a-3f9b-4890-a2c1-60b5f09d98b6,2014-06-08 18:30:01+02:00,1.469,1.669,1.629
b5a6d284-d502-425f-bd11-f8acfe874239,2014-06-08 18:30:01+02:00,1.299,1.529,1.489
b605dd15-57f6-495a-b1f9-645731f11272,2014-06-08 18:30:01+02:00,1.519,1.719,-0.001
b63d9d27-e74f-4c6e-8dfe-aa7784bba6f7,2014-06-08 18:30:01+02:00,1.309,1.539,1.499
bafaee0b-10b7-475f-abe7-2bc15d9afceb,2014-06-08 18:30:01+02:00,1.309,1.529,1.489
bc554df8-1200-4072-9afc-5759e749b43d,2014-06-08 18:30:01+02:00,1.469,1.669,1.629
bf8bcacf-84c0-4581-9c85-55d2f1e5a003,2014-06-08 18:30:01+02:00,1.419,1.649,1.609
c21ccfa9-5071-4801-a8ad-4653172bf4b6,2014-06-08 18:30:01+02:00,1.319,1.539,1.499
c27625b7-9c45-4260-8cd1-cd3543dd2ad2,2014-06-08 18:30:01+02:00,1.419,1.649,1.609
c73fa27f-764e-44c3-9e2d-73d6faa8ae84,2014-06-08 18:30:01+02:00,1.469,1.669,1.629
c8608399-adf3-4162-8321-0f313ff043ac,2014-06-08 18:30:01+02:00,1.389,1.609,1.569
cb138b9c-6bbb-4394-8db2-cdd480e4e7c5,2014-06-08 18:30:01+02:00,1.339,1.539,1.499
cba0a43e-e52f-476a-a047-8f7138f3f646,2014-06-08 18:30:01+02:00,1.469,1.679,1.639
ce4a5ad3-003a-490b-92b4-c00d5a17ce1b,2014-06-08 18:30:01+02:00,1.469,1.669,1.629
d27a7d15-3fc1-4880-88bd-e981ff6ed5f9,2014-06-08 18:30:01+02:00,1.289,1.509,1.469
d2809537-9960-48ff-ba5c-b471666e414a,2014-06-08 18:30:01+02:00,1.299,1.529,1.489
d4c0774d-ed52-4626-a0d2-500b2319c696,2014-06-08 18:30:01+02:00,1.299,1.529,1.489
d7376c09-b449-4948-8706-15777971f03c,2014-06-08 18:30:01+02:00,1.469,1.679,1.639
d8d18039-46e8-4e65-8815-37d83b2dc5ac,2014-06-08 18:30:01+02:00,1.469,1.669,1.629
dc7f0632-974c-4e2f-a64b-e4f3ea027b46,2014-06-08 18:30:01+02:00,1.469,1.539,1.499
e1dc26cc-82e0-4d77-b6ac-9af9d7c0832a,2014-06-08 18:30:01+02:00,1.479,1.689,1.649
e43c09b0-5baa-4738-962a-c94388e93c30,2014-06-08 18:30:01+02:00,1.429,1.649,1.609
e6c55dfa-c64b-44e1-913b-58e216d614e5,2014-06-08 18:30:01+02:00,1.329,1.539,1.499
e7807347-796f-4aac-997d-07d0c988e109,2014-06-08 18:30:01+02:00,1.469,1.669,1.629
e9dbe860-031d-42d2-a96c-8a958df9f764,2014-06-08 18:30:01+02:00,1.469,1.669,1.629
ee34d5a4-be1a-2a3a-e040-0b0a3dfe5d3f,2014-06-08 18:30:01+02:00,1.309,1.529,1.489
f027019a-34a2-45e8-b051-9270f8634cf7,2014-06-08 18:30:01+02:00,1.329,1.549,1.509
f13e6623-a528-46e2-9b40-e0b8ebde0504,2014-06-08 18:30:01+02:00,1.309,1.529,1.489
f254c89f-274e-45ba-b1f6-b73deafdef93,2014-06-08 18:30:01+02:00,1.299,1.529,1.489
fa6624d4-7bb9-4b17-9e56-31e0040428d1,2014-06-08 18:30:01+02:00,1.469,1.669,1.629
fcdaddc5-7dc1-49f9-8286-71e8664f9e17,2014-06-08 18:30:01+02:00,1.299,1.529,1.489
fd99c048-3b6b-4943-8b93-838daefba76b,2014-06-08 18:30:01+02:00,1.469,1.669,1.629
fdc30c82-9cdf-4fd9-a000-bc2bfe0fc7bf,2014-06-08 18:30:01+02:00,1.299,1.519,1.479
ff55d404-3609-48b2-b16a-ef4a9f2008a0,2014-06-08 18:30:01+02:00,1.289,1.519,1.479
